,Date,State,Confirmed,Deceased,Recovered,State_Name
507,05-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
508,05-Jun-20,AP,138,2,36,Andhra Pradesh
509,05-Jun-20,AR,4,0,0,Arunachal Pradesh
510,05-Jun-20,AS,128,0,50,Assam
511,05-Jun-20,BR,146,1,113,Bihar
512,05-Jun-20,CH,7,0,51,Chandigarh
513,05-Jun-20,CT,90,0,25,Chhattisgarh
514,05-Jun-20,DD,0,0,0,Daman and Diu
515,05-Jun-20,DL,1330,49,417,Delhi
516,05-Jun-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
517,05-Jun-20,GA,30,0,8,Goa
518,05-Jun-20,GJ,510,35,344,Gujarat
519,05-Jun-20,HP,10,0,10,Himachal Pradesh
520,05-Jun-20,HR,316,0,86,Haryana
521,05-Jun-20,JH,95,1,69,Jharkhand
522,05-Jun-20,JK,182,1,38,Jammu and Kashmir
523,05-Jun-20,KA,515,0,83,Karnataka
524,05-Jun-20,KL,111,0,22,Kerala
525,05-Jun-20,LA,3,0,0,Ladakh
526,05-Jun-20,LD,0,0,0,Lakshadweep
527,05-Jun-20,MH,2436,139,1466,Maharashtra
528,05-Jun-20,ML,0,0,0,Meghalaya
529,05-Jun-20,MN,8,0,0,Manipur
530,05-Jun-20,MP,234,7,241,Madhya Pradesh
531,05-Jun-20,MZ,7,0,0,Mizoram
